company_name,rcid,top_first_job_count,latest_profile_count_proxy,in_excel_popular_list,excel_industry,hq_state,suggested_bucket,suggested_action,confidence,manual_decision,notes
"The Vanguard Group, Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
"Verkada, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
"Alvarez & Marsal, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Berkeley Research Group LLC,,0,0,0,,,other_or_review,review,low,0,no rule match
"C3.ai, Inc.",,0,0,0,,,tech,review,medium,1,tech keyword: \bai\b
GE Aerospace,,0,0,0,,,other_or_review,review,low,0,no rule match
LVMH Moët Hennessy Louis Vuitton SE,,0,0,0,,,other_or_review,review,low,0,no rule match
Lincoln International LLC,,0,0,0,,,other_or_review,review,low,0,no rule match
"Mitsubishi UFJ Financial Group, Inc.",,0,0,0,,,finance,review,medium,1,finance keyword: \bfinancial\b
"MongoDB, Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
Piper Sandler Cos.,,0,0,0,,,other_or_review,review,low,0,no rule match
"Sumitomo Mitsui Financial Group, Inc.",,0,0,0,,,finance,review,medium,1,finance keyword: \bfinancial\b
"AbbVie, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
"Advanced Micro Devices, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
"Applied Intuition, Inc.",,0,0,0,,,other_or_review,review,low,1,no rule match
